user_id,assignment_group,listener_cohort,market,primary_device,total_sessions,avg_duration_min,pct_30min,post_search_sessions,total_saves,total_artist_follows,total_new_artists,avg_diversity,retained_day_7,retained_day_14,retained_day_28
u_00001,control_standard_recs,discovery_seeker,US,mobile,28,57.042142857142856,1.0,5,48,6,49,0.08692857142857144,1,1,1
u_00002,treatment_ai_dj,casual_listener,US,mobile,22,52.247727272727275,1.0,6,36,6,40,0.2567272727272727,1,1,1
u_00003,treatment_ai_dj,discovery_seeker,AU,mobile,30,51.308,0.9666666666666667,9,56,7,75,0.6378666666666667,1,1,1
u_00004,treatment_ai_dj,discovery_seeker,US,mobile,23,69.05652173913043,1.0,9,48,7,48,0.3255217391304348,1,1,1
u_00005,control_standard_recs,heavy_playlist_user,CA,car,47,46.46553191489362,0.9574468085106383,7,58,8,88,0.5913191489361702,1,1,1
u_00006,control_standard_recs,genre_loyalist,US,mobile,24,27.02875,0.4583333333333333,6,20,3,42,0.639375,1,1,0
u_00007,control_standard_recs,discovery_seeker,US,mobile,32,28.139375,0.40625,7,21,1,61,0.58040625,1,1,0
u_00008,treatment_ai_dj,casual_listener,IE,mobile,27,54.43037037037037,1.0,8,53,9,56,0.2434074074074074,1,1,1
u_00009,treatment_ai_dj,mood_context_listener,US,mobile,25,51.444399999999995,0.96,7,37,5,63,0.33244,1,1,1
u_00010,treatment_ai_dj,discovery_seeker,AU,speaker,38,49.53368421052632,1.0,8,63,16,91,0.9038421052631578,1,1,1
u_00011,control_standard_recs,heavy_playlist_user,US,mobile,29,28.449310344827584,0.4482758620689655,2,17,2,27,0.8070689655172414,1,1,0
u_00012,treatment_ai_dj,casual_listener,AU,mobile,19,51.57947368421053,1.0,5,32,3,46,0.882,1,1,1
u_00013,treatment_ai_dj,genre_loyalist,US,mobile,24,38.992916666666666,0.7916666666666666,9,35,6,71,0.7396666666666666,1,1,0
u_00014,control_standard_recs,casual_listener,US,mobile,20,32.95,0.65,3,16,0,33,0.8098000000000001,1,1,0
u_00015,control_standard_recs,genre_loyalist,CA,mobile,31,56.4883870967742,0.967741935483871,4,60,10,74,0.17670967741935484,1,1,1
u_00016,control_standard_recs,mood_context_listener,AU,desktop,25,30.209600000000002,0.52,2,25,1,43,0.29144,1,1,0
u_00017,control_standard_recs,discovery_seeker,AU,mobile,40,23.2045,0.225,7,29,4,67,0.5521,1,1,1
u_00018,treatment_ai_dj,casual_listener,CA,desktop,19,27.03421052631579,0.3157894736842105,3,12,3,42,0.3797894736842105,1,1,1
u_00019,control_standard_recs,casual_listener,AU,car,21,46.184761904761906,1.0,1,33,7,47,0.46847619047619043,1,1,1
u_00020,control_standard_recs,discovery_seeker,US,car,37,46.8418918918919,0.972972972972973,6,43,5,52,0.3427027027027027,1,1,1
u_00021,treatment_ai_dj,casual_listener,US,car,24,38.46333333333333,0.75,4,26,9,43,0.8176666666666667,1,1,1
u_00022,control_standard_recs,casual_listener,US,mobile,21,27.91190476190476,0.3333333333333333,4,9,2,39,0.43199999999999994,1,1,0
u_00023,control_standard_recs,heavy_playlist_user,US,mobile,50,45.5954,0.96,7,56,6,93,0.33782,1,1,1
u_00024,control_standard_recs,discovery_seeker,US,mobile,32,31.1321875,0.59375,5,26,1,50,0.8686875000000001,1,1,1
u_00025,control_standard_recs,discovery_seeker,US,speaker,24,45.790416666666665,0.9583333333333334,3,23,2,53,0.2235,1,1,0
